--------------------------------------------------------------
   CONTROL DE TEMPERATURA DE PAVA ELECTRICA
--------------------------------------------------------------
Mantiene la T° del agua por arriba de 50.00 ºC
Calienta como maximo la T° del Agua a 90.00 ºC
No se termino el ciclo debido a falta de tiempo
Tiempo	Amb	Agua	Estado Control [0/1]	
434001	23.75	90.19	0	
436001	23.75	90.25	0	
438001	23.75	90.19	0	
440001	23.75	90.19	0	
442001	23.75	90.19	0	
444001	23.75	90.12	0	
446001	23.75	90.06	0	
448001	23.75	90.00	0	
450001	23.75	89.94	0	
452001	23.75	89.87	0	
454001	23.75	89.81	0	
456001	23.75	89.75	0	
458001	23.75	89.69	0	
460001	23.81	89.62	0	
462001	23.75	89.62	0	
464001	23.75	89.62	0	
466001	23.75	89.56	0	
468001	23.75	89.56	0	
470001	23.75	89.50	0	
472001	23.75	89.50	0	
474001	23.75	89.44	0	
476001	23.75	89.44	0	
478001	23.75	89.37	0	
480001	23.75	89.37	0	
482001	23.75	89.37	0	
484001	23.75	89.31	0	
486001	23.75	89.25	0	
488001	23.75	89.25	0	
490001	23.75	89.19	0	
492001	23.69	89.12	0	
494001	23.75	89.06	0	
496001	23.75	89.06	0	
498001	23.75	89.00	0	
500001	23.69	88.94	0	
502001	23.69	88.94	0	
504001	23.69	88.94	0	
506001	23.69	88.94	0	
508001	23.69	88.87	0	
510001	23.69	88.81	0	
512001	23.69	88.75	0	
514001	23.69	88.75	0	
516001	23.69	88.69	0	
518001	23.69	88.69	0	
520001	23.69	88.62	0	
522001	23.69	88.56	0	
524001	23.69	88.56	0	
526001	23.69	88.50	0	
528001	23.69	88.44	0	
530001	23.69	88.37	0	
532001	23.69	88.37	0	
534001	23.69	88.31	0	
536001	23.69	88.31	0	
538001	23.69	88.25	0	
540001	23.69	88.25	0	
542001	23.69	88.25	0	
544001	23.69	88.25	0	
546001	23.69	88.19	0	
548001	23.69	88.19	0	
550001	23.69	88.12	0	
552001	23.69	88.12	0	
554001	23.69	88.06	0	
556001	23.69	88.00	0	
558001	23.69	88.00	0	
560001	23.62	87.94	0	
562001	23.69	87.87	0	
564001	23.69	87.87	0	
566001	23.69	87.81	0	
568001	23.69	87.81	0	
570001	23.69	87.81	0	
572001	23.69	87.75	0	
574001	23.69	87.69	0	
576001	23.69	87.69	0	
578001	23.69	87.56	0	
580001	23.69	87.56	0	
582001	23.69	87.50	0	
584001	23.62	87.50	0	
586001	23.69	87.44	0	
588001	23.62	87.44	0	
590001	23.69	87.37	0	
592001	23.69	87.31	0	
594001	23.69	87.31	0	
596001	23.69	87.25	0	
598001	23.62	87.19	0	
600001	23.69	87.12	0	
602001	23.62	87.06	0	
604001	23.69	87.06	0	
606001	23.62	87.06	0	
608001	23.62	87.00	0	
610001	23.69	87.00	0	
612001	23.69	86.94	0	
614001	23.62	86.94	0	
616001	23.62	86.94	0	
618001	23.62	86.87	0	
620001	23.69	86.87	0	
622001	23.69	86.81	0	
624001	23.62	86.75	0	
626001	23.62	86.75	0	
628001	23.62	86.75	0	
630001	23.62	86.69	0	
632001	23.62	86.69	0	
634001	23.62	86.62	0	
636001	23.62	86.56	0	
638001	23.62	86.56	0	
640001	23.62	86.50	0	
642001	23.62	86.50	0	
644001	23.62	86.50	0	
646001	23.62	86.44	0	
648001	23.62	86.44	0	
650001	23.62	86.44	0	
652001	23.62	86.44	0	
654001	23.62	86.37	0	
656001	23.62	86.37	0	
658001	23.62	86.31	0	
660001	23.62	86.31	0	
662001	23.62	86.25	0	
664001	23.62	86.25	0	
666001	23.62	86.19	0	
668001	23.62	86.12	0	
670001	23.56	86.12	0	
672001	23.62	86.06	0	
674001	23.62	86.06	0	
